1000 332643
275 188 58
218 823 36
635 285 64
620 358 41
388 320 46
342 216 58
355 597 62
132 186 65
478 797 39
971 73 45
379 33 96
480 490 63
459 283 89
89 566 56
206 180 41
504 988 24
440 222 55
890 705 6
373 548 14
327 187 54
396 903 83
696 827 41
746 722 13
589 507 63
505 349 54
419 692 44
620 384 42
365 388 56
851 53 15
170 342 44
153 862 92
862 524 59
862 211 90
348 544 86
538 498 18
160 788 50
589 59 62
986 879 70
760 819 17
132 420 35
134 921 99
861 760 95
36 770 74
864 539 49
602 106 62
446 521 92
555 228 61
135 454 3
72 765 10
823 38 97
616 271 1
1 641 92
273 930 100
157 784 3
651 992 52
709 106 12
527 621 100
271 648 38
119 214 27
343 850 3
143 151 66
215 401 77
513 382 14
23 880 72
582 817 72
138 996 46
756 562 2
872 750 44
801 742 54
711 262 83
281 520 12
193 20 85
517 284 77
25 972 14
187 36 78
812 890 95
582 423 46
98 815 48
905 730 17
713 543 34
531 890 38
701 540 25
476 779 17
718 688 74
383 802 82
999 186 27
703 490 89
382 517 47
123 866 57
867 655 28
934 571 36
443 965 3
207 701 54
648 733 56
439 808 26
457 970 7
344 611 85
232 206 100
749 768 92
553 430 79
172 315 70
190 583 95
571 734 82
990 724 4
577 657 40
12 489 78
524 539 50
167 363 40
644 797 89
720 572 25
793 984 11
90 765 20
550 800 59
817 380 72
180 595 77
218 429 30
617 908 3
467 214 92
266 340 40
197 590 44
785 407 41
428 621 97
621 739 27
85 425 57
174 603 43
457 637 6
182 425 82
904 918 79
503 365 92
241 233 84
968 969 89
214 259 8
489 240 62
893 24 40
369 626 4
615 993 18
333 854 17
682 403 79
444 3 4
527 987 46
296 426 31
172 538 19
785 963 44
199 114 69
604 165 32
392 925 36
934 491 29
168 52 45
564 771 42
948 703 16
239 217 80
263 675 55
70 361 29
110 317 10
72 571 79
984 65 38
466 934 89
127 469 11
970 653 7
209 536 41
791 195 86
331 178 59
995 552 59
260 31 5
29 920 83
175 940 54
432 160 30
792 984 26
853 388 32
23 797 1
749 289 20
429 102 52
334 161 24
874 375 29
613 79 52
859 820 98
641 610 29
220 946 60
45 640 29
717 128 15
180 595 71
590 729 16
634 535 71
183 334 89
909 307 93
213 156 25
514 446 17
537 497 100
117 176 53
733 73 6
752 304 64
151 764 44
212 400 62
993 637 43
913 74 12
327 22 86
124 199 27
185 960 38
587 692 24
270 155 2
790 834 71
335 468 16
205 401 60
1000 871 45
249 327 92
647 62 4
296 416 82
529 381 70
34 582 95
826 166 36
325 29 34
629 22 71
637 496 65
334 289 28
848 96 63
281 325 58
570 811 96
13 887 75
633 761 82
428 630 76
4 743 89
16 422 40
652 742 87
254 382 96
659 457 33
526 390 86
46 58 24
779 77 81
306 985 15
398 542 60
295 418 17
307 504 90
19 978 25
382 724 97
814 574 14
730 195 62
878 654 83
319 324 80
7 193 31
775 195 6
945 179 18
405 630 4
897 783 31
923 545 59
467 990 34
200 458 79
861 530 68
81 522 21
217 227 67
241 143 49
264 567 55
596 99 57
618 886 98
363 655 68
721 250 10
858 210 86
327 729 35
711 592 35
134 212 97
683 312 25
114 275 20
963 828 12
39 150 38
157 201 2
136 841 8
855 761 47
78 492 73
863 549 4
137 11 42
980 819 4
374 920 55
728 937 45
388 766 81
883 270 89
151 817 52
732 206 10
121 170 45
583 296 26
20 79 88
275 331 30
839 7 69
671 499 22
395 261 24
894 69 1
205 545 76
642 385 63
51 938 66
815 988 65
204 925 79
129 552 26
500 293 41
332 442 82
593 135 76
27 950 5
40 20 31
303 84 27
409 386 48
104 751 46
383 456 5
237 58 81
166 267 79
532 465 5
120 256 58
25 362 43
455 42 25
927 17 73
154 215 66
788 576 39
644 854 74
399 583 53
105 396 13
708 986 90
815 420 99
402 365 2
446 605 7
46 56 91
447 181 55
890 750 69
832 793 42
449 984 86
766 977 97
78 786 99
606 608 55
353 39 43
635 35 44
818 278 76
685 975 48
733 491 68
291 442 66
339 521 74
615 397 55
774 197 18
633 169 35
115 57 99
201 676 48
164 980 93
900 700 85
429 877 50
638 294 47
886 196 12
296 528 69
700 356 67
386 765 89
86 581 76
574 806 36
549 227 29
613 510 30
239 471 62
997 596 48
87 684 74
705 458 92
789 579 40
42 312 58
499 994 18
367 409 48
959 156 17
476 298 25
61 842 16
875 21 5
395 548 50
329 21 70
350 820 39
64 15 90
606 787 63
909 769 55
68 136 81
926 202 64
567 490 90
241 784 6
592 4 75
967 513 42
335 189 23
641 619 26
139 754 65
896 494 42
471 39 28
590 265 81
45 487 79
269 193 40
838 191 32
835 988 41
899 334 5
484 386 62
357 335 71
179 903 10
84 684 52
307 813 58
842 709 29
928 976 77
199 917 19
846 616 49
741 498 24
343 734 27
283 116 89
96 411 34
979 208 68
519 695 81
3 985 68
458 52 27
996 576 3
34 42 59
133 875 88
377 765 44
859 824 42
698 859 17
88 893 62
954 443 84
434 459 43
53 48 69
543 405 17
648 701 29
967 83 99
596 151 39
868 585 63
517 782 25
943 345 20
734 818 32
741 235 95
734 127 15
741 173 69
226 537 30
605 140 63
17 342 17
864 536 71
706 834 77
343 573 25
114 133 83
887 310 1
291 672 98
645 800 24
474 647 13
273 97 31
721 333 1
33 630 97
384 821 71
413 25 23
393 973 54
773 290 51
409 200 21
235 823 44
478 272 33
261 483 21
539 803 66
805 672 37
85 155 3
38 792 27
999 200 69
686 62 2
573 213 88
657 260 85
916 948 7
125 153 98
151 689 50
130 17 36
744 129 5
606 348 2
68 125 97
559 82 94
41 479 70
854 204 30
21 998 95
909 65 76
146 367 54
57 707 50
724 509 35
566 448 70
464 269 9
346 699 91
232 755 97
313 252 20
380 209 75
246 62 52
270 388 20
348 339 97
498 713 2
165 353 20
219 763 79
956 727 38
295 69 62
270 48 74
278 867 92
958 587 77
633 959 4
654 148 16
819 317 67
458 274 23
264 534 37
29 321 17
68 554 71
869 896 51
995 55 42
37 268 70
880 407 94
736 857 69
277 416 93
624 329 81
518 280 58
369 286 40
421 186 53
709 498 90
115 354 22
757 527 17
660 545 83
223 619 38
176 738 11
944 746 8
473 370 13
947 155 41
335 732 5
954 218 60
201 865 51
251 220 15
324 344 73
607 412 15
266 261 36
363 659 15
450 943 79
562 114 76
837 393 36
144 395 13
955 790 58
61 131 82
579 393 63
112 618 15
354 749 24
697 875 19
8 630 36
715 63 59
291 376 62
894 628 74
915 551 4
380 987 80
136 943 81
95 679 85
24 886 61
419 956 6
688 635 66
349 100 2
253 539 55
186 641 100
56 912 75
389 701 69
623 136 89
250 767 69
468 586 69
15 258 55
537 49 46
26 433 3
103 157 24
621 78 78
674 870 7
947 365 85
23 309 67
605 279 43
556 472 74
307 283 83
565 654 22
597 659 45
486 501 53
612 841 41
312 57 74
193 670 47
863 329 32
921 578 89
969 69 42
915 905 57
202 826 17
61 780 85
282 118 40
191 397 7
728 591 53
967 8 97
393 876 43
144 989 64
800 438 72
589 683 33
337 699 100
900 514 74
107 359 55
356 587 76
40 490 17
976 945 19
884 129 62
778 637 94
491 634 25
512 16 32
20 848 46
753 531 48
413 254 30
310 982 92
643 849 17
169 675 30
744 329 50
798 224 41
275 643 84
720 834 88
627 624 1
259 280 40
750 154 6
264 223 39
602 405 85
753 296 20
335 691 58
405 83 36
813 477 87
55 317 77
870 454 24
490 270 19
503 607 69
672 72 50
692 332 9
864 36 94
47 314 45
246 47 48
438 750 5
146 318 19
299 626 61
506 537 62
414 846 87
983 669 72
880 399 78
211 86 12
404 949 7
77 841 51
63 730 3
465 461 43
100 802 4
998 767 75
322 788 34
318 968 95
193 11 77
610 393 22
597 21 10
953 803 47
735 314 38
202 815 48
617 910 9
471 242 74
453 918 96
652 314 49
706 420 73
544 248 77
88 131 26
80 561 56
448 970 2
963 812 92
397 177 20
133 468 68
11 921 22
222 247 14
462 653 65
449 478 84
432 78 93
237 273 4
589 423 41
12 119 26
513 544 93
237 82 62
262 824 17
143 151 84
690 70 66
189 525 30
102 407 2
447 574 36
134 41 59
769 160 30
594 632 86
79 15 63
801 547 51
436 295 69
234 304 34
871 349 85
983 484 56
520 806 82
852 89 78
80 493 48
729 428 11
132 941 53
84 557 58
961 99 46
160 234 61
602 398 51
656 666 85
538 281 16
419 488 50
498 387 73
489 57 17
674 505 2
443 641 79
912 155 4
54 172 50
143 355 45
479 896 87
430 740 40
570 579 57
729 506 53
330 294 87
495 475 84
613 10 5
219 832 96
936 512 31
136 728 39
433 794 44
455 353 47
873 331 76
396 797 89
402 801 83
22 965 16
76 781 95
596 997 16
944 800 84
369 215 56
869 354 61
832 250 57
888 312 94
319 651 16
267 544 67
814 366 14
717 857 36
883 387 88
992 319 26
4 844 63
854 975 75
9 729 36
188 840 30
901 624 34
689 403 38
661 441 36
300 40 86
805 378 29
725 883 79
688 182 94
652 657 68
906 409 91
637 894 71
841 660 94
884 255 100
592 82 94
23 687 27
164 189 21
359 618 40
96 224 40
348 540 70
745 12 27
215 293 71
613 942 84
402 955 28
259 287 92
444 753 67
844 336 36
93 785 54
684 193 86
589 734 33
807 161 70
243 416 60
522 277 79
766 633 95
812 606 88
294 403 68
688 263 9
272 195 78
928 767 53
516 48 92
923 372 46
959 891 9
315 358 30
42 737 90
543 121 62
460 954 18
400 441 73
936 432 81
246 368 27
612 222 93
131 299 58
661 678 100
541 710 62
456 238 95
846 959 84
186 872 48
843 290 60
988 529 53
216 348 87
83 214 38
503 208 76
684 260 28
963 845 8
106 360 18
613 450 8
833 798 87
138 264 26
70 247 96
285 808 1
234 146 64
173 768 44
368 923 13
856 222 5
294 537 4
417 364 80
237 983 3
199 475 16
726 392 54
120 478 55
727 311 25
1 162 59
847 605 14
289 544 10
382 899 18
266 9 69
710 314 8
173 473 33
628 642 57
219 607 88
661 804 87
775 903 47
822 716 62
618 690 25
651 83 49
949 269 32
237 629 56
551 781 16
144 94 100
736 44 3
396 58 38
696 304 83
831 705 58
198 182 19
291 283 13
330 673 53
52 398 28
8 534 60
226 860 48
108 224 87
437 558 57
739 820 74
41 809 96
201 728 51
358 475 3
959 733 91
196 389 39
578 713 17
844 732 22
895 336 4
428 222 67
167 467 39
52 844 40
884 772 43
560 191 56
320 36 65
621 559 13
17 933 59
2 154 59
692 866 51
529 618 15
212 861 7
724 866 54
285 419 48
793 302 64
112 928 16
171 10 40
222 353 3
135 168 5
162 465 11
740 236 70
218 459 3
189 544 71
23 945 52
627 121 49
546 958 12
947 333 44
152 998 22
507 81 4
907 682 6
815 513 2
608 432 36
606 303 34
26 449 15
413 967 92
259 823 24
925 707 49
93 890 41
375 917 59
803 169 70
139 540 37
919 115 89
118 903 97
714 96 100
996 641 19
904 669 71
382 123 26
438 249 89
131 860 50
551 225 39
337 930 78
854 567 25
456 699 93
93 792 93
651 362 91
790 167 44
807 355 92
199 55 33
587 333 17
193 437 35
637 683 1
760 657 82
282 837 68
43 844 72
822 409 55
73 134 42
900 151 50
393 924 93
802 324 16
197 17 76
339 249 92
935 196 62
213 758 76
893 935 21
460 858 92
813 72 92
821 461 38
749 842 12
602 925 42
78 332 5
358 309 24
242 142 33
159 249 25
133 198 17
905 669 8
489 946 61
994 599 49
494 443 18
203 564 46
109 848 64
298 265 70
741 80 45
297 751 25
77 352 71
89 20 35
46 329 86
552 57 85
23 981 6
980 202 32
617 848 71
771 614 11
557 219 15
175 447 19
361 35 25
213 989 59
802 480 9
167 446 50
49 273 99
526 440 51
993 726 16
128 607 51
731 414 96
762 571 53
283 995 8
293 479 33
805 890 80
756 998 73
915 799 21
702 108 42
97 392 50
761 951 54
864 140 72
340 12 19
568 538 77
873 384 98
462 188 25
360 473 59
636 195 50
760 226 44
873 195 41
762 515 97
1000 126 10
707 124 8
647 389 77
823 946 46
437 362 77
14 148 7
810 434 52
850 351 69
187 159 35
544 975 18
919 558 30
716 918 55
776 211 86
618 655 6
125 900 70
342 186 62
314 197 54
268 473 14
333 730 92
635 365 78
252 836 5
263 305 32
499 560 28
444 890 8
671 424 79
698 316 50
399 825 63
292 585 30
728 302 90
539 377 16
515 636 52
490 630 53
641 90 38
54 468 72
801 252 30
541 359 37
863 981 57
307 79 30
120 130 25
131 9 79
726 495 86
626 334 11
58 12 83
914 590 46
339 742 88
977 591 57
429 39 54
224 836 4
414 597 18
582 52 96
965 127 27
654 381 24
963 89 81
320 325 72
379 39 78
895 231 41
430 997 42
215 790 34
516 91 37
744 935 77
776 301 47
187 241 98
504 731 63
88 503 12
745 456 90
609 648 55
102 866 47
303 746 13
898 592 37
970 251 30
272 572 38
692 808 55
718 92 20
798 849 81
832 789 85
958 882 69
382 821 88
493 334 20
567 989 11
277 83 59
64 941 93
125 641 94
118 682 40
258 993 61
714 644 84
847 471 75
491 678 36
409 727 70
567 685 99
452 609 66
482 367 52
568 729 6
174 462 18
317 158 93
141 308 22
800 211 70
683 501 50
808 438 60
754 492 11
288 54 57
20 62 86
189 131 7
464 507 93
522 544 48
192 474 83
488 292 37
429 870 83
325 799 51
343 874 76
353 313 63
359 853 35
986 434 87
737 73 74
206 373 82
692 767 95
139 772 8
85 792 25
498 284 99
57 520 63
454 23 27
48 540 98
822 442 1
132 359 43
752 912 17
887 83 58
285 317 58
350 132 45
765 909 79
59 4 56
454 328 25
97 31 58
324 976 42
207 404 58
978 291 79
154 811 35
624 270 72
584 437 69
357 19 91
947 65 27
762 656 65
512 210 19
97 779 88
512 737 76
299 157 24
783 190 83
429 612 70
435 898 34
102 243 86
368 875 92
100 648 19
495 490 68
482 769 88
477 695 90
985 294 29
990 633 50
949 571 41
728 329 95
