1000 1998
1 2 71
2 3 29
3 4 47
4 5 89
5 6 75
6 7 55
7 8 49
8 9 28
9 10 13
10 11 90
11 12 7
12 13 58
13 14 96
14 15 25
15 16 17
16 17 47
17 18 47
18 19 85
19 20 85
20 21 10
21 22 3
22 23 39
23 24 58
24 25 13
25 26 72
26 27 62
27 28 40
28 29 96
29 30 84
30 31 80
31 32 73
32 33 10
33 34 24
34 35 19
35 36 43
36 37 67
37 38 37
38 39 48
39 40 92
40 41 28
41 42 39
42 43 20
43 44 19
44 45 70
45 46 22
46 47 76
47 48 85
48 49 30
49 50 62
50 51 47
51 52 72
52 53 53
53 54 57
54 55 78
55 56 9
56 57 64
57 58 41
58 59 75
59 60 52
60 61 3
61 62 36
62 63 35
63 64 41
64 65 16
65 66 30
66 67 75
67 68 86
68 69 71
69 70 17
70 71 50
71 72 67
72 73 92
73 74 80
74 75 66
75 76 32
76 77 5
77 78 28
78 79 32
79 80 5
80 81 83
81 82 73
82 83 5
83 84 88
84 85 52
85 86 72
86 87 44
87 88 21
88 89 7
89 90 38
90 91 74
91 92 34
92 93 71
93 94 72
94 95 9
95 96 23
96 97 97
97 98 39
98 99 89
99 100 100
100 101 78
101 102 76
102 103 45
103 104 66
104 105 34
105 106 60
106 107 11
107 108 60
108 109 36
109 110 17
110 111 74
111 112 82
112 113 62
113 114 92
114 115 64
115 116 97
116 117 23
117 118 55
118 119 52
119 120 47
120 121 68
121 122 21
122 123 6
123 124 50
124 125 85
125 126 74
126 127 84
127 128 28
128 129 63
129 130 97
130 131 93
131 132 37
132 133 67
133 134 32
134 135 56
135 136 80
136 137 20
137 138 18
138 139 67
139 140 97
140 141 26
141 142 85
142 143 97
143 144 16
144 145 95
145 146 95
146 147 67
147 148 76
148 149 75
149 150 11
150 151 19
151 152 6
152 153 21
153 154 96
154 155 39
155 156 53
156 157 12
157 158 25
158 159 93
159 160 3
160 161 84
161 162 5
162 163 36
163 164 29
164 165 63
165 166 96
166 167 72
167 168 66
168 169 16
169 170 39
170 171 38
171 172 50
172 173 83
173 174 92
174 175 79
175 176 78
176 177 49
177 178 9
178 179 90
179 180 35
180 181 100
181 182 15
182 183 17
183 184 95
184 185 20
185 186 8
186 187 61
187 188 73
188 189 45
189 190 30
190 191 79
191 192 53
192 193 65
193 194 27
194 195 16
195 196 21
196 197 41
197 198 97
198 199 92
199 200 35
200 201 84
201 202 39
202 203 40
203 204 70
204 205 80
205 206 19
206 207 73
207 208 45
208 209 30
209 210 80
210 211 61
211 212 95
212 213 28
213 214 51
214 215 73
215 216 41
216 217 34
217 218 69
218 219 36
219 220 79
220 221 71
221 222 15
222 223 8
223 224 86
224 225 50
225 226 43
226 227 71
227 228 15
228 229 25
229 230 81
230 231 81
231 232 27
232 233 97
233 234 14
234 235 69
235 236 95
236 237 36
237 238 49
238 239 6
239 240 36
240 241 56
241 242 30
242 243 73
243 244 88
244 245 17
245 246 27
246 247 20
247 248 21
248 249 67
249 250 75
250 251 85
251 252 79
252 253 10
253 254 62
254 255 73
255 256 56
256 257 67
257 258 49
258 259 4
259 260 44
260 261 24
261 262 43
262 263 43
263 264 8
264 265 27
265 266 80
266 267 82
267 268 35
268 269 27
269 270 54
270 271 68
271 272 56
272 273 33
273 274 8
274 275 68
275 276 83
276 277 43
277 278 32
278 279 10
279 280 91
280 281 7
281 282 89
282 283 19
283 284 61
284 285 3
285 286 35
286 287 1
287 288 50
288 289 20
289 290 72
290 291 43
291 292 64
292 293 45
293 294 83
294 295 98
295 296 63
296 297 54
297 298 40
298 299 18
299 300 60
300 301 42
301 302 46
302 303 40
303 304 40
304 305 87
305 306 13
306 307 16
307 308 10
308 309 33
309 310 33
310 311 50
311 312 38
312 313 26
313 314 45
314 315 49
315 316 33
316 317 57
317 318 64
318 319 46
319 320 66
320 321 37
321 322 17
322 323 28
323 324 64
324 325 49
325 326 89
326 327 17
327 328 63
328 329 22
329 330 43
330 331 69
331 332 97
332 333 29
333 334 18
334 335 13
335 336 5
336 337 99
337 338 31
338 339 68
339 340 6
340 341 67
341 342 74
342 343 17
343 344 26
344 345 4
345 346 1
346 347 57
347 348 35
348 349 81
349 350 23
350 351 5
351 352 80
352 353 97
353 354 80
354 355 16
355 356 38
356 357 91
357 358 2
358 359 89
359 360 5
360 361 39
361 362 49
362 363 79
363 364 22
364 365 91
365 366 29
366 367 68
367 368 10
368 369 9
369 370 76
370 371 8
371 372 52
372 373 98
373 374 95
374 375 99
375 376 64
376 377 17
377 378 97
378 379 83
379 380 4
380 381 2
381 382 47
382 383 37
383 384 65
384 385 62
385 386 48
386 387 97
387 388 11
388 389 91
389 390 65
390 391 25
391 392 16
392 393 88
393 394 10
394 395 16
395 396 2
396 397 48
397 398 63
398 399 73
399 400 16
400 401 13
401 402 57
402 403 16
403 404 78
404 405 41
405 406 17
406 407 99
407 408 28
408 409 76
409 410 3
410 411 21
411 412 74
412 413 100
413 414 57
414 415 32
415 416 81
416 417 94
417 418 11
418 419 53
419 420 80
420 421 98
421 422 79
422 423 42
423 424 46
424 425 83
425 426 49
426 427 8
427 428 51
428 429 40
429 430 73
430 431 43
431 432 50
432 433 83
433 434 42
434 435 36
435 436 26
436 437 1
437 438 43
438 439 30
439 440 53
440 441 43
441 442 89
442 443 36
443 444 10
444 445 44
445 446 24
446 447 39
447 448 91
448 449 87
449 450 59
450 451 59
451 452 39
452 453 31
453 454 66
454 455 4
455 456 67
456 457 27
457 458 47
458 459 84
459 460 16
460 461 8
461 462 70
462 463 84
463 464 77
464 465 23
465 466 46
466 467 20
467 468 66
468 469 57
469 470 21
470 471 76
471 472 84
472 473 56
473 474 32
474 475 1
475 476 45
476 477 73
477 478 44
478 479 53
479 480 84
480 481 11
481 482 1
482 483 35
483 484 14
484 485 63
485 486 36
486 487 15
487 488 16
488 489 67
489 490 44
490 491 70
491 492 41
492 493 80
493 494 34
494 495 33
495 496 84
496 497 9
497 498 27
498 499 53
499 500 28
500 501 29
501 502 80
502 503 20
503 504 24
504 505 13
505 506 68
506 507 35
507 508 85
508 509 40
509 510 81
510 511 3
511 512 19
512 513 35
513 514 12
514 515 49
515 516 23
516 517 77
517 518 53
518 519 42
519 520 36
520 521 8
521 522 84
522 523 76
523 524 62
524 525 87
525 526 13
526 527 93
527 528 48
528 529 9
529 530 51
530 531 58
531 532 78
532 533 10
533 534 75
534 535 59
535 536 18
536 537 72
537 538 85
538 539 14
539 540 28
540 541 64
541 542 95
542 543 89
543 544 93
544 545 19
545 546 94
546 547 1
547 548 56
548 549 82
549 550 55
550 551 81
551 552 24
552 553 30
553 554 79
554 555 97
555 556 63
556 557 29
557 558 16
558 559 6
559 560 33
560 561 86
561 562 7
562 563 51
563 564 74
564 565 31
565 566 50
566 567 92
567 568 25
568 569 78
569 570 14
570 571 54
571 572 52
572 573 69
573 574 35
574 575 50
575 576 57
576 577 19
577 578 81
578 579 72
579 580 24
580 581 89
581 582 28
582 583 6
583 584 20
584 585 86
585 586 12
586 587 5
587 588 84
588 589 91
589 590 74
590 591 20
591 592 22
592 593 78
593 594 46
594 595 16
595 596 58
596 597 37
597 598 17
598 599 21
599 600 66
600 601 19
601 602 13
602 603 95
603 604 51
604 605 4
605 606 48
606 607 99
607 608 28
608 609 75
609 610 2
610 611 1
611 612 30
612 613 82
613 614 91
614 615 7
615 616 87
616 617 26
617 618 24
618 619 65
619 620 73
620 621 16
621 622 99
622 623 61
623 624 23
624 625 27
625 626 86
626 627 61
627 628 12
628 629 47
629 630 61
630 631 39
631 632 28
632 633 43
633 634 40
634 635 13
635 636 67
636 637 32
637 638 75
638 639 4
639 640 41
640 641 43
641 642 81
642 643 75
643 644 16
644 645 34
645 646 64
646 647 5
647 648 9
648 649 6
649 650 75
650 651 19
651 652 6
652 653 72
653 654 28
654 655 27
655 656 9
656 657 14
657 658 5
658 659 26
659 660 87
660 661 81
661 662 33
662 663 89
663 664 76
664 665 38
665 666 27
666 667 81
667 668 38
668 669 58
669 670 98
670 671 44
671 672 33
672 673 83
673 674 50
674 675 56
675 676 65
676 677 88
677 678 72
678 679 27
679 680 79
680 681 8
681 682 41
682 683 65
683 684 35
684 685 56
685 686 32
686 687 42
687 688 84
688 689 52
689 690 88
690 691 56
691 692 66
692 693 4
693 694 93
694 695 89
695 696 33
696 697 76
697 698 48
698 699 17
699 700 18
700 701 37
701 702 91
702 703 36
703 704 99
704 705 31
705 706 4
706 707 51
707 708 36
708 709 92
709 710 10
710 711 38
711 712 21
712 713 47
713 714 93
714 715 46
715 716 16
716 717 39
717 718 95
718 719 48
719 720 83
720 721 39
721 722 39
722 723 6
723 724 7
724 725 15
725 726 42
726 727 44
727 728 60
728 729 69
729 730 21
730 731 79
731 732 9
732 733 1
733 734 6
734 735 12
735 736 96
736 737 74
737 738 60
738 739 41
739 740 75
740 741 63
741 742 50
742 743 90
743 744 86
744 745 99
745 746 53
746 747 25
747 748 9
748 749 58
749 750 85
750 751 87
751 752 47
752 753 16
753 754 49
754 755 59
755 756 77
756 757 23
757 758 87
758 759 30
759 760 16
760 761 36
761 762 16
762 763 30
763 764 41
764 765 75
765 766 53
766 767 59
767 768 88
768 769 58
769 770 70
770 771 92
771 772 25
772 773 77
773 774 33
774 775 26
775 776 79
776 777 7
777 778 87
778 779 93
779 780 6
780 781 36
781 782 99
782 783 35
783 784 31
784 785 39
785 786 100
786 787 41
787 788 52
788 789 83
789 790 60
790 791 90
791 792 62
792 793 51
793 794 47
794 795 22
795 796 4
796 797 70
797 798 54
798 799 2
799 800 34
800 801 1
801 802 70
802 803 22
803 804 82
804 805 64
805 806 9
806 807 11
807 808 43
808 809 61
809 810 28
810 811 91
811 812 95
812 813 21
813 814 12
814 815 66
815 816 48
816 817 87
817 818 86
818 819 44
819 820 79
820 821 27
821 822 17
822 823 73
823 824 30
824 825 68
825 826 22
826 827 40
827 828 97
828 829 47
829 830 8
830 831 5
831 832 22
832 833 56
833 834 44
834 835 9
835 836 1
836 837 19
837 838 52
838 839 53
839 840 31
840 841 11
841 842 71
842 843 20
843 844 33
844 845 34
845 846 84
846 847 18
847 848 25
848 849 58
849 850 4
850 851 66
851 852 88
852 853 40
853 854 35
854 855 78
855 856 51
856 857 8
857 858 63
858 859 14
859 860 76
860 861 69
861 862 32
862 863 71
863 864 89
864 865 43
865 866 35
866 867 3
867 868 84
868 869 59
869 870 50
870 871 99
871 872 94
872 873 90
873 874 74
874 875 73
875 876 58
876 877 78
877 878 35
878 879 55
879 880 63
880 881 99
881 882 6
882 883 4
883 884 10
884 885 86
885 886 33
886 887 46
887 888 13
888 889 4
889 890 100
890 891 50
891 892 100
892 893 37
893 894 28
894 895 1
895 896 35
896 897 62
897 898 4
898 899 71
899 900 34
900 901 62
901 902 69
902 903 2
903 904 1
904 905 35
905 906 55
906 907 56
907 908 75
908 909 34
909 910 62
910 911 66
911 912 53
912 913 49
913 914 55
914 915 67
915 916 69
916 917 75
917 918 19
918 919 49
919 920 50
920 921 70
921 922 34
922 923 63
923 924 63
924 925 86
925 926 14
926 927 98
927 928 35
928 929 17
929 930 83
930 931 50
931 932 35
932 933 43
933 934 71
934 935 26
935 936 71
936 937 12
937 938 3
938 939 63
939 940 77
940 941 57
941 942 36
942 943 7
943 944 88
944 945 46
945 946 56
946 947 26
947 948 13
948 949 97
949 950 34
950 951 78
951 952 15
952 953 75
953 954 5
954 955 85
955 956 92
956 957 80
957 958 93
958 959 52
959 960 85
960 961 60
961 962 40
962 963 94
963 964 91
964 965 67
965 966 63
966 967 30
967 968 37
968 969 30
969 970 53
970 971 53
971 972 18
972 973 36
973 974 46
974 975 86
975 976 55
976 977 80
977 978 89
978 979 41
979 980 62
980 981 76
981 982 25
982 983 87
983 984 6
984 985 27
985 986 53
986 987 44
987 988 71
988 989 24
989 990 18
990 991 1
991 992 51
992 993 63
993 994 90
994 995 8
995 996 50
996 997 41
997 998 30
998 999 71
999 1000 27
837 195 94
503 494 2
998 291 68
162 444 20
95 784 73
151 590 29
44 480 13
656 13 94
946 850 1
532 946 94
941 32 68
123 783 53
715 762 96
540 470 75
723 975 14
939 779 5
635 626 61
179 251 59
225 156 84
652 500 53
53 549 91
228 749 42
638 398 88
249 60 73
970 295 26
935 674 79
363 569 32
496 80 84
459 807 85
77 791 4
697 685 26
831 210 92
251 448 45
816 464 36
401 446 72
339 514 48
158 735 98
150 540 11
48 527 1
81 745 52
353 198 68
364 714 2
517 72 85
837 43 1
575 398 20
888 132 39
570 638 58
327 655 5
158 210 93
112 807 56
764 298 96
669 845 63
764 584 1
799 773 92
464 571 42
707 900 71
874 139 90
662 519 23
739 965 7
767 375 59
747 300 67
735 474 66
445 20 37
144 802 5
433 78 44
492 661 63
650 994 94
535 350 42
805 736 22
567 660 64
870 876 21
677 813 37
968 501 18
164 44 43
420 435 58
867 563 30
251 895 78
370 923 2
554 455 34
545 379 43
479 442 2
935 84 40
507 663 66
166 178 79
386 219 58
209 52 55
898 787 24
614 780 30
855 913 34
673 300 26
671 563 45
768 408 36
944 268 85
819 348 92
48 369 1
894 329 30
203 706 75
449 408 92
95 306 84
136 219 61
399 976 30
518 570 28
754 147 14
761 831 41
58 268 72
327 484 24
108 199 35
723 444 83
264 929 28
748 880 74
679 453 86
46 643 18
786 532 78
900 37 16
876 942 28
290 710 15
304 691 57
63 528 7
312 181 84
950 494 21
