100 3270
13 91 43
52 43 59
50 8 84
70 4 64
30 40 21
99 44 82
96 28 30
2 89 7
24 32 26
31 86 17
78 8 59
82 42 34
42 82 100
58 9 10
99 65 58
15 49 94
97 5 17
16 31 58
16 46 28
33 59 84
4 91 11
63 64 78
45 100 77
33 10 87
82 54 30
67 15 97
34 50 78
66 68 46
37 20 66
58 14 90
58 84 99
43 32 37
75 70 4
36 87 11
12 19 18
4 98 63
18 68 63
74 4 42
39 56 11
83 49 87
26 63 16
41 88 38
28 97 100
46 10 29
55 56 6
62 41 16
55 37 70
63 54 39
89 69 9
97 26 67
47 94 86
47 8 41
63 70 83
95 4 20
28 2 6
32 76 6
64 2 32
61 5 38
50 84 68
38 100 8
42 68 71
91 96 59
91 94 8
37 28 24
17 38 85
89 88 39
11 92 10
89 26 59
84 21 91
45 94 94
60 39 75
94 40 84
15 3 45
66 67 1
61 71 85
92 2 64
24 61 41
42 63 18
76 54 31
32 37 47
49 32 2
52 20 50
84 59 99
54 41 10
7 16 89
53 92 4
82 56 12
11 59 7
52 73 63
52 42 8
87 17 32
49 58 60
99 7 34
40 89 5
75 90 29
65 84 85
8 96 90
40 49 84
32 73 94
55 5 87
31 40 39
81 75 67
30 8 58
74 80 52
28 2 93
36 30 43
23 100 93
64 51 55
28 40 27
87 22 53
75 59 32
7 82 15
50 81 62
71 88 9
56 46 16
94 79 54
55 52 56
25 76 67
55 66 14
75 89 15
83 60 73
55 38 15
58 13 54
26 70 35
75 82 62
52 50 18
46 97 71
59 36 67
87 23 73
9 24 74
55 36 15
10 47 27
41 71 98
80 39 86
48 25 53
100 73 57
15 38 11
31 58 52
22 6 97
75 74 98
7 93 20
19 77 65
28 51 45
31 15 91
75 1 78
87 65 39
69 39 66
77 6 99
84 8 42
93 94 1
47 18 29
54 24 79
11 82 78
68 94 100
87 40 79
70 9 95
3 44 86
84 44 17
51 9 33
19 20 69
47 68 73
22 20 20
87 98 21
21 19 16
9 65 84
36 38 39
77 43 27
23 45 20
48 28 66
73 17 64
68 82 80
99 15 13
10 60 70
29 8 78
8 29 76
90 37 98
97 31 5
97 17 98
48 52 95
59 82 75
96 19 23
59 48 76
87 27 29
12 24 11
96 20 37
90 12 56
91 31 63
97 26 68
77 36 98
48 80 15
80 12 31
41 48 25
7 9 19
100 95 87
21 46 28
21 85 51
53 38 9
43 58 42
17 32 27
82 80 32
8 22 28
94 88 33
16 35 78
95 33 4
74 58 30
7 9 68
1 100 39
97 7 57
42 86 51
98 15 6
92 87 95
53 78 87
40 27 22
11 25 78
17 36 13
4 54 1
10 56 17
41 83 100
89 82 60
29 27 44
98 99 13
18 87 92
61 6 63
60 34 6
59 22 77
90 51 66
29 14 60
59 17 51
55 60 16
70 11 84
11 28 82
70 71 48
43 79 66
43 78 55
52 15 69
23 63 16
26 47 96
55 22 95
25 53 20
52 15 36
80 60 1
49 84 10
15 58 41
25 57 6
75 53 56
12 66 73
88 41 69
39 97 47
45 61 92
98 43 48
38 73 31
44 3 79
48 36 72
40 45 48
90 96 15
97 95 30
67 80 12
25 63 7
22 48 40
53 20 20
46 29 45
53 51 47
89 70 35
71 18 37
44 23 85
27 39 27
35 88 79
4 10 98
87 31 52
23 15 67
18 10 9
55 80 5
9 58 15
95 21 26
2 53 33
1 49 100
52 35 63
96 16 39
77 57 82
95 84 15
41 25 48
60 61 68
16 65 37
48 37 85
18 7 90
76 31 25
27 51 93
11 54 74
29 64 20
31 33 25
89 33 100
79 94 58
37 100 16
61 70 46
62 64 88
48 65 6
91 75 95
29 61 52
5 92 64
49 39 52
11 1 58
45 2 2
34 24 14
98 34 23
64 86 36
13 27 96
30 36 61
3 75 29
87 57 96
87 61 93
46 85 13
30 4 2
84 21 58
63 67 47
90 36 67
35 72 71
32 67 14
78 49 93
97 60 64
87 94 92
94 96 29
89 93 45
75 30 98
79 28 30
100 86 71
16 47 93
51 50 46
79 4 36
82 18 43
81 75 97
19 53 77
66 32 1
61 82 94
95 52 83
31 94 89
17 82 3
11 40 67
11 45 2
61 54 37
80 51 52
36 60 84
59 11 75
7 28 41
56 73 63
33 14 62
30 35 6
22 65 20
61 74 70
37 48 96
20 58 17
47 90 95
80 97 70
16 91 54
14 67 80
81 36 15
49 51 34
89 53 100
14 2 66
50 29 83
95 58 2
72 84 90
78 21 32
17 42 32
35 77 24
85 74 54
67 56 49
45 71 47
39 28 42
40 13 73
10 86 69
50 95 65
93 100 56
61 13 37
2 67 6
32 82 58
69 19 20
92 28 11
12 94 32
73 5 44
41 14 85
14 38 61
97 47 1
80 1 91
47 100 40
12 56 31
38 78 58
81 43 5
32 83 98
37 100 19
42 8 26
44 57 88
16 51 94
79 30 56
77 15 1
22 70 48
17 38 98
14 81 91
44 81 4
32 72 32
14 35 43
29 56 9
58 86 1
23 72 41
6 27 38
46 84 9
78 27 81
89 78 17
65 46 79
70 92 26
78 91 95
12 30 54
99 52 97
83 1 53
97 100 23
93 15 47
24 70 98
92 28 36
49 47 43
73 44 61
41 60 41
55 82 3
61 29 76
28 53 48
34 82 14
90 67 54
21 63 36
92 96 21
67 68 35
57 35 37
70 65 89
100 69 15
20 84 86
44 93 59
78 27 53
94 67 69
77 25 14
80 89 97
98 8 65
11 49 26
100 77 91
29 10 17
24 27 77
66 30 8
56 60 13
87 25 80
36 62 5
80 73 12
31 1 89
18 42 2
14 18 47
30 45 20
59 43 20
68 85 78
77 37 80
83 41 92
4 56 49
12 84 50
39 66 41
89 85 87
10 42 78
33 40 79
10 87 31
78 41 24
3 47 19
75 25 28
11 86 27
72 6 17
16 71 51
79 28 64
34 38 73
25 30 32
30 33 72
66 37 58
30 81 3
13 80 61
3 7 46
22 98 93
79 91 91
7 10 93
96 63 36
88 15 44
45 14 98
88 12 56
66 39 7
43 39 26
40 32 31
31 87 31
40 13 83
99 16 98
43 10 76
50 2 85
61 76 24
55 83 7
54 59 87
17 5 12
29 23 78
96 63 58
93 49 2
16 8 17
71 81 26
58 13 48
82 73 65
83 82 55
6 54 18
81 77 80
31 78 18
63 32 57
37 11 56
33 59 13
32 16 88
58 36 7
74 13 58
44 81 7
24 51 79
78 64 95
43 1 97
37 21 23
8 82 88
98 57 78
41 53 92
74 99 86
72 47 5
66 36 13
52 26 5
74 70 55
24 17 60
54 80 7
71 98 84
65 60 59
31 28 37
36 37 13
5 13 95
5 63 71
46 33 90
50 41 84
50 32 61
98 66 68
96 82 68
78 30 76
53 71 94
32 38 60
33 62 60
11 64 34
47 59 21
96 19 34
17 54 40
86 9 20
21 11 55
33 23 63
43 20 28
68 3 12
54 24 21
32 94 24
48 80 59
99 61 38
56 17 64
67 55 16
99 17 59
71 31 84
61 10 51
24 27 71
54 2 66
2 45 93
90 21 81
37 52 26
63 67 63
49 55 67
72 66 62
49 77 89
68 56 62
86 14 26
86 66 5
30 5 51
88 32 94
13 65 60
77 82 82
85 65 31
15 90 75
90 48 59
41 12 53
24 20 56
6 15 47
78 16 81
76 63 60
62 44 90
56 79 47
8 100 52
10 85 20
9 22 87
23 90 2
92 63 96
41 11 92
24 13 28
99 67 48
21 67 60
13 58 90
81 71 81
69 64 27
99 42 10
8 15 74
63 52 88
56 97 77
27 53 40
97 15 30
7 92 68
59 8 61
24 14 10
88 97 45
80 99 73
61 99 31
63 1 52
70 9 35
92 79 39
82 13 79
80 16 13
23 34 82
4 43 100
70 19 89
3 9 20
27 41 35
78 48 63
81 90 73
24 73 37
88 40 29
41 81 47
26 49 79
82 87 19
75 23 60
16 51 96
74 33 82
86 38 58
84 10 36
32 18 73
53 75 12
98 50 92
31 86 94
30 74 84
74 88 24
39 95 32
65 59 32
4 15 16
47 21 71
19 71 97
73 92 41
50 65 97
43 61 44
60 93 93
79 24 95
3 90 70
40 91 18
95 46 11
17 43 90
40 27 28
47 87 99
93 59 13
91 39 18
2 53 69
4 45 66
52 46 9
1 81 5
61 10 27
63 4 73
75 30 31
59 51 31
13 92 95
96 82 34
46 27 17
97 88 59
95 64 2
8 81 13
56 63 17
49 55 36
25 63 79
13 50 83
46 96 100
39 95 36
31 62 3
61 25 17
22 34 40
19 56 64
19 5 2
66 84 11
19 12 82
34 59 93
73 39 91
49 46 41
80 31 53
83 67 56
83 61 54
25 85 49
85 47 59
85 7 42
26 33 95
19 97 39
72 63 63
20 81 22
61 65 15
57 84 2
25 100 49
48 25 72
25 89 88
80 70 63
1 15 55
57 55 34
60 38 98
84 77 4
99 96 1
24 40 82
100 98 40
91 97 35
27 30 66
27 91 92
55 17 49
52 38 41
19 100 98
26 20 90
99 57 99
38 88 22
26 73 80
70 46 98
79 86 7
37 58 59
21 78 22
87 65 35
61 12 68
86 91 68
15 90 80
78 36 25
32 83 37
8 93 56
5 35 25
4 1 11
15 10 89
42 39 91
53 67 50
22 96 35
64 12 82
20 58 19
50 68 28
90 66 13
55 96 95
33 9 66
26 22 1
26 17 25
55 67 60
83 54 63
40 48 20
17 98 15
99 48 93
39 64 76
68 86 38
72 91 17
82 56 89
72 50 1
8 10 17
67 79 20
20 24 72
23 59 96
6 85 56
41 56 43
41 4 68
21 73 77
25 78 92
17 71 2
96 54 58
38 97 37
37 75 98
63 84 79
70 81 75
89 36 7
9 32 22
3 14 7
10 20 52
24 8 54
68 24 100
89 23 68
60 71 99
22 74 18
37 65 72
7 56 30
85 96 15
68 75 5
5 29 31
16 94 4
77 30 63
2 86 86
23 16 9
17 60 86
33 36 97
24 25 7
46 50 77
54 70 9
17 22 30
45 72 41
22 10 59
39 97 84
54 86 46
47 48 57
33 95 66
89 45 29
49 88 4
31 21 32
82 43 27
85 48 8
71 87 88
68 63 67
81 70 71
75 40 20
41 45 94
13 39 57
62 90 93
12 35 98
85 18 87
69 65 23
64 29 10
54 80 96
28 74 48
31 47 79
69 64 81
41 74 56
62 48 26
70 72 49
95 7 21
16 37 43
39 99 29
26 67 34
34 6 10
61 97 21
12 21 89
34 47 38
93 55 24
35 31 70
62 51 51
95 64 39
84 50 90
38 31 50
48 84 22
9 49 68
36 83 38
13 92 58
47 24 52
36 73 85
71 85 11
3 99 28
39 53 32
33 41 8
80 72 65
83 84 89
62 55 15
48 91 19
78 73 62
15 71 90
69 49 52
64 88 13
64 34 78
96 98 72
64 48 10
90 16 43
4 63 39
1 88 33
81 71 43
30 7 54
57 92 67
53 4 6
24 9 2
99 9 95
8 12 19
51 81 86
95 48 10
50 39 11
39 83 13
82 83 62
34 18 14
31 40 80
81 3 79
18 40 78
91 34 91
29 95 93
26 58 59
86 38 7
83 16 37
48 59 10
75 4 91
83 51 36
24 19 73
20 98 93
46 38 82
49 95 53
27 9 56
60 80 77
60 53 37
93 85 25
87 9 81
80 39 60
80 93 55
60 22 12
52 29 38
49 8 12
80 34 84
20 32 9
2 26 68
48 52 26
16 74 44
82 10 99
9 86 76
83 25 45
31 99 9
87 41 41
38 52 63
24 44 66
1 97 24
87 86 93
88 91 26
39 36 81
71 8 85
80 28 54
25 68 27
10 98 35
77 96 43
96 18 6
89 70 76
32 99 50
34 15 10
75 46 63
53 98 66
60 64 7
95 54 28
75 40 41
45 52 22
80 45 3
46 48 46
33 61 26
55 26 17
63 89 75
72 52 64
58 92 94
93 63 94
58 38 77
5 35 60
80 56 98
90 91 92
27 12 39
91 58 76
67 17 8
5 74 73
17 80 7
78 10 40
8 16 100
35 55 46
20 91 36
85 46 39
75 70 14
93 47 83
46 74 86
59 54 38
53 45 29
99 43 62
29 85 21
6 7 86
15 90 28
28 19 96
64 56 8
50 54 87
2 44 28
44 1 88
90 9 36
55 17 31
1 86 47
1 70 72
74 52 66
51 8 25
59 35 20
24 48 2
46 78 20
6 18 83
38 6 7
81 50 39
46 29 69
12 94 43
81 69 66
69 29 92
36 85 89
78 18 12
65 4 14
36 96 51
14 27 55
26 6 78
88 75 54
24 19 98
76 43 80
5 84 13
