100 778
1 10 40
1 22 7
1 2 1
1 3 47
1 94 17
1 43 15
2 99 14
2 30 8
2 88 47
2 8 6
2 10 43
2 48 47
2 97 34
2 57 5
3 50 37
3 31 27
3 97 2
3 89 1
3 71 5
3 57 13
3 10 14
3 22 32
3 94 38
3 1 1
3 90 35
3 43 12
3 8 45
3 2 41
3 15 44
3 79 34
4 69 26
4 27 14
4 80 28
4 62 37
4 13 17
4 91 0
4 70 48
5 13 10
5 29 44
5 83 27
5 15 21
5 76 17
6 21 9
6 84 13
6 31 48
6 54 21
6 95 6
7 17 5
7 11 24
7 54 6
7 83 22
7 24 22
7 20 38
7 55 16
8 57 2
8 43 46
8 2 29
8 16 34
8 94 7
8 15 24
8 49 5
8 71 35
9 93 18
9 45 40
9 3 39
9 75 23
9 79 36
9 48 12
10 22 45
10 18 4
10 100 2
10 94 42
10 36 14
11 17 49
11 73 18
11 30 5
11 61 14
11 66 6
12 10 24
12 33 17
12 84 29
12 56 40
12 99 23
12 74 10
12 54 23
13 28 22
13 6 13
13 16 42
13 75 17
13 5 44
13 42 43
13 82 41
13 72 4
13 54 38
13 49 40
13 62 10
13 63 34
13 34 46
13 38 15
13 84 10
13 21 29
13 47 24
13 26 17
13 44 40
14 79 44
14 92 35
14 9 14
14 81 43
14 59 20
14 58 49
14 96 49
14 40 3
15 49 14
15 28 2
15 34 20
15 44 25
15 63 17
15 39 4
15 65 13
15 53 36
15 99 45
15 13 20
16 30 13
16 85 41
16 61 31
16 80 25
16 70 41
17 85 29
17 78 9
17 84 16
17 54 8
17 83 15
17 73 47
18 77 35
18 71 34
18 38 16
18 43 47
18 67 37
19 2 27
19 28 37
19 97 25
19 100 23
19 89 14
19 90 8
19 1 32
19 60 31
19 79 5
19 31 48
19 77 3
19 43 7
19 3 9
19 10 40
19 22 10
19 94 50
19 85 43
20 84 27
20 33 38
20 86 4
20 82 24
20 40 24
20 28 38
20 73 29
20 52 33
20 54 16
20 77 35
20 99 0
20 58 43
21 87 46
21 84 7
21 54 43
21 11 34
21 6 48
22 71 17
22 94 49
22 50 41
22 89 21
22 55 7
22 84 18
22 69 27
23 16 10
23 70 29
23 91 0
23 59 46
23 8 46
23 30 16
23 69 32
23 28 48
23 98 11
23 6 32
23 4 6
23 80 40
23 36 19
23 65 40
23 68 32
23 55 38
23 51 12
23 27 9
24 17 23
24 6 48
24 37 10
24 56 34
24 84 49
24 99 33
24 32 0
25 45 38
25 93 20
25 75 31
25 36 1
25 96 7
25 9 23
26 31 19
26 49 15
26 76 3
26 42 15
26 53 36
26 47 5
26 30 5
26 28 46
26 46 31
27 69 4
27 78 48
27 95 34
27 62 49
27 68 8
28 15 8
28 99 42
28 44 30
28 3 35
28 45 10
28 34 16
28 11 33
29 41 38
29 34 27
29 62 13
29 49 34
29 44 48
29 86 46
29 99 44
30 62 12
30 67 45
30 83 19
30 69 25
30 54 42
30 6 41
31 97 23
31 60 28
31 49 33
31 2 28
31 100 7
31 72 15
31 46 14
31 88 4
31 10 21
31 57 1
31 90 37
31 64 35
31 77 14
31 19 37
31 1 14
31 35 0
31 82 4
31 63 45
32 17 40
32 58 3
32 87 14
32 56 4
32 43 2
32 7 21
33 54 4
33 85 32
33 32 15
33 74 17
33 43 42
33 52 31
34 42 13
34 83 34
34 47 8
34 41 46
34 28 36
34 49 36
34 82 30
34 13 15
34 99 50
34 66 30
34 5 26
35 94 12
35 40 6
35 10 6
35 22 42
35 19 27
36 30 22
36 62 27
36 80 26
36 74 29
36 65 46
36 40 3
36 20 43
37 17 41
37 20 41
37 7 6
37 74 3
37 60 25
38 49 46
38 39 21
38 26 6
38 15 15
38 99 12
39 99 12
39 63 34
39 44 28
39 28 8
39 5 27
40 21 11
40 12 17
40 56 29
40 54 15
40 74 4
40 87 28
40 11 35
40 86 6
40 72 3
40 37 41
40 6 34
41 39 0
41 49 5
41 29 48
41 72 15
41 5 10
41 28 26
41 53 31
42 85 30
42 99 13
42 46 25
42 49 3
42 41 10
42 5 24
42 6 0
42 44 24
42 3 16
42 65 50
42 82 50
42 15 29
42 29 18
42 28 27
43 1 44
43 8 46
43 35 50
43 22 35
43 90 42
43 31 45
44 91 31
44 5 9
44 53 12
44 13 18
44 29 13
44 49 3
44 100 37
44 76 47
44 69 34
44 15 3
44 28 47
44 39 20
45 81 3
45 75 3
45 9 37
45 46 30
45 93 32
46 93 33
46 14 10
46 25 3
46 61 32
46 96 5
46 48 11
47 63 4
47 38 38
47 76 4
47 98 43
47 54 15
48 25 25
48 46 7
48 28 36
48 93 15
48 75 37
49 15 38
49 99 2
49 39 39
49 14 5
49 76 26
50 64 42
50 94 37
50 31 36
50 88 33
50 100 20
51 80 16
51 16 13
51 59 42
51 30 45
51 38 20
51 62 15
51 23 16
52 84 25
52 20 8
52 92 42
52 73 41
52 48 19
52 33 29
52 87 20
52 12 48
52 54 4
52 58 0
52 81 29
52 24 39
53 47 36
53 26 6
53 44 4
53 40 34
53 10 13
53 41 32
53 82 16
53 12 8
53 42 22
53 85 4
53 5 15
54 11 23
54 7 18
54 6 10
54 17 28
54 92 34
55 15 45
55 65 19
55 51 39
55 59 41
55 16 33
55 30 0
55 2 42
55 68 35
55 49 19
55 69 42
55 4 6
55 62 8
56 87 16
56 12 7
56 54 6
56 24 47
56 66 35
57 94 9
57 18 17
57 22 18
57 67 38
57 90 13
57 97 45
57 10 21
57 31 13
57 49 43
57 60 40
57 32 16
58 60 32
58 6 31
58 87 16
58 37 3
58 78 5
58 85 40
59 30 27
59 91 17
59 62 2
59 27 0
59 53 21
59 55 49
60 1 8
60 43 40
60 3 16
60 10 10
60 95 47
60 71 28
60 31 35
60 30 45
60 65 27
60 77 35
60 94 0
60 91 7
61 79 4
61 63 44
